(1562, 0.6042786428081812)
(1558, 0.6017415653156167)
(798, 0.6015829979723314)
(457, 0.6004730265693343)
(1423, 0.5863605330169444)
(111, 0.5853439401605484)
(1604, 0.5852505616139475)
(1371, 0.5852505616139472)
(1348, 0.5827134841213832)
(799, 0.5825549167780976)
(714, 0.5800178392855327)
(538, 0.5774807617929683)
(1737, 0.5724066068078396)
(960, 0.5702818044078167)
(823, 0.5699613314613876)
(1847, 0.5662224804197143)
(880, 0.5662224804197137)
(94, 0.5635268355838638)
(233, 0.56093539214503)
(426, 0.5598797866883022)
(1394, 0.5586112479420197)
(1697, 0.5535370929568909)
(1077, 0.5535370929568907)
(474, 0.5460527143538259)
(1172, 0.5433887829866328)
(1412, 0.5421202442403505)
(161, 0.5409785593686965)
(213, 0.5408517054940686)
(432, 0.5357775505089396)
(1280, 0.5356189831656543)
(1368, 0.5356189831656542)
(89, 0.5354075600412739)
(478, 0.5330819056730894)
(69, 0.5309571032730669)
(1206, 0.5305880738196028)
(1672, 0.5292498615436951)
(369, 0.5268977792849636)
(394, 0.5253438193207677)
(427, 0.5216650569565495)
(1422, 0.5192865468072696)
(334, 0.5170031770639618)
(1100, 0.515322363225139)
(953, 0.5152272228191671)
(313, 0.5127852857325733)
(156, 0.5089268137126315)
(343, 0.5066011593444473)
(1861, 0.5051514007772676)
(200, 0.5027955431056008)
(201, 0.5011570138916528)
(841, 0.500258465613036)
(102, 0.49740425343390116)
(1008, 0.49518431062790713)
(1687, 0.4924886657920575)
(1170, 0.4912201270457752)
(1187, 0.4911365188102246)
(1686, 0.4836521402071595)
(1818, 0.4812303844188024)
(1241, 0.4802402652155354)
(181, 0.47742476817995566)
(459, 0.4748876906873915)
(747, 0.4737210880903639)
(454, 0.47259626672982047)
(382, 0.47249211109538547)
(1059, 0.4723506131948267)
(1711, 0.47219204585154095)
(1284, 0.4719383381022852)
(412, 0.4709667527443371)
(967, 0.47092350710525915)
(1631, 0.4648186643887757)
(309, 0.4607751971350011)
(1434, 0.4545910707468751)
(1641, 0.4543373629976186)
(254, 0.45316396465730757)
(660, 0.4469798382691813)
(1271, 0.4469798382691813)
(1211, 0.44583815339752725)
(1640, 0.44317422203033446)
(1671, 0.441724463463155)
(372, 0.44063714453777014)
(1624, 0.440510290663142)
(361, 0.4394131159229363)
(1255, 0.4381000670452056)
(1775, 0.43794149970192037)
(416, 0.43674695904917116)
(1494, 0.4330259120600766)
(303, 0.43302591206007657)
(1761, 0.4304571210988549)
(1573, 0.4250024044898412)
(411, 0.4216090633435364)
(251, 0.4214504960002511)
(350, 0.41764487976140446)
(1327, 0.41653490835840734)
(729, 0.4165349083584071)
(1023, 0.4162494871404938)
(1846, 0.41257072477627527)
(1364, 0.4118343711984632)
(1048, 0.4113701434628295)
(1220, 0.41019221462699607)
(929, 0.4089236758807139)
(790, 0.40651345226277735)
(375, 0.40622803104486394)
(1610, 0.40622803104486394)
(566, 0.40511805964186687)
(71, 0.4048749230488293)
(77, 0.4036003436418507)
(1858, 0.40012318832838056)
(1232, 0.3997947274030041)
(207, 0.39874365244179855)
(186, 0.3975068271641735)
(1556, 0.39737997328954505)
(165, 0.39734825982088806)
(1022, 0.3962382884178911)
(1342, 0.3960570685969939)
(1420, 0.3949697496716091)
(1066, 0.3937012109253265)
(1328, 0.39366949745666957)
(884, 0.3935426435820412)
(1207, 0.39348978780094657)
(1834, 0.39243267217904454)
(987, 0.39227410483575925)
(752, 0.38500265952224827)
(406, 0.3823819421123465)
(456, 0.382157508334158)
(1763, 0.382125794865501)
(423, 0.379747284716222)
(1796, 0.3761530916017555)
(871, 0.37467312973109296)
(1574, 0.37451456238780767)
(599, 0.37213605223852825)
(1410, 0.3707089461489608)
(574, 0.37068629367134853)
(1788, 0.37067290811639586)
(1816, 0.3695989747459638)
(1311, 0.3676212075188057)
(1369, 0.3670984897172344)
(321, 0.36217802308021263)
(1303, 0.36208532217183026)
(1680, 0.3619877422682702)
(851, 0.35691358728314143)
(981, 0.356913587283141)
(9, 0.3554864811935739)
(395, 0.35421794244729143)
(54, 0.35341845255562193)
(1285, 0.3531079710442942)
(289, 0.3529811171696662)
(1730, 0.35195475400221954)
(256, 0.35175486304825976)
(396, 0.34832600133857566)
(169, 0.3480655295278225)
(228, 0.34676527731288315)
(1595, 0.3442281998203186)
(716, 0.34419648635166167)
(328, 0.3440696324770334)
(1690, 0.34406963247703337)
(911, 0.3431499418859787)
(62, 0.3429596610740365)
